id	texto	clase
778	Las mujeres son una vergüenza para la humanidad. Están destruyendo la sociedad con sus derechos extremos. No tienen la más mínima consideración por los hombres. Tu vida entera se convierte en un infierno cuando conoces una mujer y no hay nada que la satisfaga.	
6620	"Oye @user que se siente ganar con el voto facho? vendido de mierda, cuando empiezas a pagar los favores? Asco debiese darte celebrar tu ""triunfo"". Una vez más tu puto partido aliado a la derecha.

Responde si tienes pelotas wn de mierda."	
12952	Policía muy presta para detener a manifestante trans contra la candidatura de Rodolfo. Ojalá así mismo de eficientes fueran para garantizar la libre expresión de las ciudadanías inconformes. https://t.co/aQfDoRb5oC	
10409	@user Yo no espero nada de Orrego, ni las gracias ni un reconocimiento a la gente que no es de izquierda y que voto por el, lo importante es que es un político profesional y su periodo va a durar solo 4 años, a los comunistas no les gusta dejar sus cargos.	
14955	@user @user ¿Ojalá la mujer humillada, regañada por hacer bien su trabajo y amenazada, nos cuente si fue despedida o siguió en su puesto?	
13643	CÓMO QUE SE MURIÓ MF DOOM LA PUTA QUE ME RE PARIÓ	
711	No soportamos su existencia. Son una vergüenza para nuestra sociedad. No se merecen ningún respeto ni tolerancia. No tienen derechos ni merecen ninguna consideración. No hay lugar para ellas en esta comunidad. Nos niegan a todos nuestros valores.	
6843	@user @user La cago ...es increíble el nivel de yeta de este wn	
4287	@user 🤣🤣🤣 Es muy aweonao ese Clon de baneardo, gigo poh wn, la wea 🤭	
1336	@user @user Me recuerda todo lo que hicieron para aportillar el primer año de Bachelet, sus mismos compañeros de alianza. Fue muy duro, le aportillaban todo. Luego los mismos machitos ql sacaban cuentas alegres de sus logros. Detesto profundamente a todas esas lacras.	
11599	¿Qué es una bolsa de gatos? https://t.co/8WoruGJ63a	
11350	#Quieromi100xcientoAhora  COMUNISTAS DE MIERDA DICTADORES LADRONES SINVERGÜENZAS #CHILESINCOMUNISMO #ChileSinONU TROPAS de sinvergüenza NOS LLENAN DE INMIGRANTES MANO de obra barata #Agenda2030 NO DARÉ MIS AÑOS DE TRABAJO A LOS VAGOS FLOJOS. YA PUES #COMPAÑERE	
1955	"@user Depende a quien se lo dirijas una mujer madura lo entendería separará el trigo de la cizaña por el contrario una joven diría esté queriendo ser sugar y no llega ni a papelón ""baboso"" por eso me limita Buenos días joven y sigo con mi labor"	
4573	@user @user @user Quien como usted ministro q ir pudo hacerse los dos Examenes y súper rápido. Siendo que todos los chilenos debemos esperar horas y con suerte te hacen el pcr… queremos la misma calidad de salud para todos	
3871	@user El frente amplio es un nombre comodín para el comunismo, algo mas cercano para nuevos borregos, mas de lo mismo, una ideología totalitaria y fascista, los q no piensan como nosotros están equivocados y los debemos atacar, eso son... Comunistas de Starbucks.	
11002	@user @user @user Indigenas culiaos como le robaron el partido a melipilla,y mas encima terminan cantando el picante himno de los indios	
7839	@user En el Gobierno Ya están firmando los cheques para indemnizar a las Pymes  afectadas.... ......ah no,  perdón, No hay plata para las Pymes? Ahhh para los delincuentes si, ahh, era para las lacras el cheque, mmmmm.	
7616	@user @user De aquí, 👆 de este congreso parte grán parte de la injusticia de la que estamos siendo parte los chilenos.  Las victimas  pagando a los victimarios reparación.  Las Victimas siendo violentadas por segunda vez. @user	
9587	Primero nos copiaron el pisco y ahora también eligen un presidente delincuente	
3283	@user Y lo fundamental no se olvide de la rurabilidad de la región de coquimbo que somos el poto trasero de las tres provincias..	
14721	Con ese argumento, esta diciendo que se puede formar grupos armados para defenderse de lo que cada uno consideran amenaza:  1. Racista contra mapuche.  2. Mapuche contra usurpadores  3. Pueblo versus Carabiners  4. Civiles versus manifestant.  Etc...  FIN DEL CONTRATO SOCIAL... https://t.co/BHgGRlKvmp	
6019	Dejate de webiarme mujer del mal	
4580	@user Nunca ha tenido mucho sentido hacerlo a médicos chilenos si por ley las escuelas de medicina TIENEN que estar acreditadas por obligación	
6863	@user @user @user Chile no sale goleado por bravo y por la mala definición de los argentinos	
2671	"Los argentinos deben estar de muerte 
#EliminatoriasSudamericanas"	
8990	"@user @user xdios love😳
ya voy🏃‍♀️ ah
ctm y sorryy, respondí súper tarde😭"	
11349	@user Hola! Pues si te soy sincero no tengo muy claro qué sería esa estancia. He leído por ahí algo de una cocina, y si es así y hubiera algún tipo de apertura, podría perfectamente serlo. Gracias a ti!! ^^	
14037	VAMOS NEGRO LA COMCHA DE SU MARREEEEE	
13229	no puedo procesar lo que acaba se pasar en serio fue el mejor momento de mi puta vida y lo mejor d todo es q tambien fue la mejor noche de louis xq lo dio todo y nosotras lo dimos todo por él	
2996	@user Comentó el Ex Fiscal farandulero y de zapatitos negros sucios.	
9011	en cancha estamos mejor sin Vidal?? quizas no, pero no deberian llamarlo más a la selección, que aprenda que con las cagas que se manda, afecta a todo el equipo, a todo el pais, irresponsable ctm, se te pide tan poco pajaron qlo	
2701	Esto es lo que provoca @user incluso en chicos argentinos! #crack https://t.co/xbhjRXPQd6	
6972	@user A claro pero la misma gente que votó por el candidato alcalde de peñalolen Miguel Concha FA es la misma que votó por Karina Oliva.	
12366	@user @user @user Degenerados. Cual es el orgullo que les produce inrroducirse elementos por el *?	
13595	Se imaginan el cerro Manquehue con una toma de extranjeros..... A no para allá no van porque los corretean al instante.	
1131	@user Que es ignorante... Otro mas que escribe y no lee o investiga... Lo cagan en su cara y no se da cuenta. Cuantos años de monopolio lleva transbank en el mercado cobrando lo que quiere y protegido por la política que apoya a Orrego. Sabes la comisión de transbank, quien lo trajo?.	
14408	@user @user Feid mi puto padre	
7058	@user @user Ahi dice VICTIMAS, no delincuentes.	
13073	La comunista alcaldesa de Santiago autorizó a los extranjeros (no se ven chilenos) ponerse en todo el centro de stgo.comerciantes ilegales donde cunde el robo de las gentes que les dificúlta transitar por las calles del centro llenos de comerciantuchos basural y ediondez https://t.co/Oo7Pq2AqjL	
2213	#CavadaCHVCNN curioso ver que el mismo gobierno que los invito a venir a Chile, hoy los expulsa. Sería bueno que los venezolanos residentes lo consideren y dejen de defender a un gobierno como este. Son sus compatriotas los que están siendo expulsados.	
1275	@user @user X QUE NO  ESPULSAN A LOS  PRESOS  QUE  ESTÁ SOBREPOBLANDO LAS  CÁRCELES  ASESINOS VIOLADORES  TRAFICANTES  ECT  ESA DEBERÁ  SER  UNA  UNA REAL  ESPULCION  ASCURRETE  GOBIERNO  INEPTOS	
321	Los gays son una amenaza para la moral. Especialmente para los niños, porque los gays son un ejemplo negativo. No se les debe enseñar a los niños a aceptar el homosexuality, sino a rechazarlo. 	
14087	@user Un angelito ya está con dios😢.........jajajajaj que se pudra en el infierno el hijo de la gran puta.	
3641	Lamentablemente no es un monstruo es un hombre que cree que tiene el poder social de castigar a su ex mujer. No aíslen los casos de violencia, no construyan espectáculo cuando está claro que no son casos aislados y que hablamos de violencia machista. https://t.co/eDXsvuuhvZ	
2120	@user @user No entendiste, nadie esta pauteando nada, se les está pidiendo a la gente que respete lo establecido. No seamos tan rascas	
3667	"🟣Si estás en cuarentena con tú agresor o si eres TESTIGO de hechos de violencia contra una mujer en tú comunidad y necesitas ORIENTACIÓN y APOYO
📲 #WhatsAppMujer
+569 9700 7000
☎️1455
✔️Silencioso
✔️Confidencial
✔️Disponible 24/7

Guárdalo con un nombre que sólo tú reconozcas‼️ https://t.co/ftHA4VdML2"	
2868	Los bolivianos han puesto el bus,las camas,las alpacas y hasta el salar que tienen en el arco para aguantar el cero 😬#VamosChile	
1995	@user @user No confundir Perez- Cotapos con Paresco-poto	
4297	@user @user Quizás iba con una gopro, porque eso hacen muchos ciclistas, graban todo, por casos como estos aweonao.	
14726	¿Quieres ver ricas tet@user, un buen trasero?🍑    #GRUPO NUEVO 💯✅⭐  #CASERO #VENTA DE CONTENIDO😈 #MUJER BELLA😍 #VARIOSGRUPOS     https://t.co/qV43Qo1zyL     https://t.co/EMLejRH2qW    https://t.co/52f0FcN78V    https://t.co/ghVq3jdjgR    https://t.co/TVOYXzzP3P https://t.co/7CWZ3OEzIa	
3940	"Y eres Periodista ??? Votó app el 30% del padrón electoral! 
No sé cómo se te pasa por la cabeza que una una vulgar, ignorante, incapaz de hilar una frase coherente llegue al Senado!! Te pegaste en la cabeza ??? https://t.co/SrlnoTQIMY"	
15183	@user no pabla la puta madre ahora no xfavor	
13471	Mi familia desea que doctora puta sea mi nuevo novio y no dejan de preguntar por él es que la vida es maravillosa	
11851	Hay muchos q creen q haciendo escándalos, serán escuchados, las feminazis creen q dejándose las axilas peludas y mostrando el culo, las gentes las apoyarán. Hasta imponen opciones wnas x medio de leyes. Como si naturaleza se pudiera cambiar xq es ley  #RechazoGanaZapateando https://t.co/3njAsKSVOD	
13169	mi novia es la mujer mas perfecta del mundo 🙏🏼	
4999	@user @user Que idiota, hay formas mas efectivas de mantener a la gente controlada, mientras mas pobres, menos educados y mentalmente alimentados por telebasura, mas votantes para los zurdos... pero con la cabeza en alto pues hombre.	
14676	@user Callate mejor	
8606	"A mi madre, le pagan su pensión en UF….esa es otra cosa que los comunistas y FA, querrán eliminar y así  tener peores pensiones?? 
#HayTantasFormasDeRobo"	
2838	Bolivianos culiaos vinieron a actuar y a colgarse del arco porque nada más #LaRojaxCHV	
4761	Que #orrego es dc, que se vende a la derecha, que fue alcalde de la concertacion, que ninguneo a la derecha en la constituyente! No sean weones, votemos contra #oliva ese es el punto! Mdw! https://t.co/ajWP7RFVyS	
3263	@user Yo creo “Mira el manso pico en el ojo que les meteremos a nuestros compañeres y nos llenaremos los bolsillos”	
9932	@user @user @user dictadura ideologica, termino clasico de fachos pobres	
11071	@user @user Hay que barrer a estos mapuches de mierda.	
14790	Solo hay que ir a una parada gay y veran toda clase de cosas raras que solo ese grupito apoya 🤮	
4703	@user Me tienen hasta mas arriba de las tetas de silicona que tengo, los weones antivacuna. 🤦‍♀️	
6762	Gaspar quedo como payaso #LaTorreDeMabel https://t.co/OX45UdaSYw	
8447	"@user @user  A ESA ""ZURDA CAVIAR"" NO LA SACAMOS MÁS DE CHILE!!SEGURO Q LE PAGAN UNA 💰💰💰💰 POR IR A DAR CÁTEDRA MARX A LOS CHILENOS 👺👹🌶️🌶️!!!"	
5843	@user Pero q persona más ignorante: “solo 0,4% mensual”, se dará cuenta lo q escribe?	
2484	Más allá de quejarse del árbitro (eso viene por defecto en un partido de Brasil pitado por un venezolano) hay que analizar la pobreza del juego de Ecuador. No se atrevió a nada, no remató al arco. Flojo medio campo, flojo arquero, flojo ataque y cambios ofensivos cuando pierdes	
5334	Que bueno es @user la concha de su madreeeeeee	
12424	@user @user @user La dictadura de las minorías.	
4090	El mapa de los 16 gobernadores en Chile: Sólo habrá tres mujeres y nueve militan en partidos políticos #Emol https://t.co/dwJOvtbW0P a través de @user	
1696	@user Aaa pues en mi caso me atraen sexualmente hombres, mujeres, y (lo diré así para que se entienda) hombres trans, pero no mujeres trans, me dijeron que eso era transmisoginia interiorizada, otros que soy bisexual heteroromantico y son muchas cosas, casi que prefiero no clasificarme	
5032	@user Jajajajaja te salen buenas pa ser tan aweonao	
7513	Que asco compartir el mundo con weones que se expresan así de una niña de 13 años https://t.co/0YYYkpEoax	
3014	@user @user @user @user @user Voh siempre agarrando el cogotito poh negra 😬	
10457	@user Quiero mis fondos de AFP ahora no pretendo compartir lo que yo junte con mi esfuerzo con zánganos que nunca trabajaron.😡	
3102	@user Siempre pienso que Hamilton es demasiado bueno hasta que lo presionan. Ahí  comienza a cometer errores. Lo que sucedió con Nico Rosberg no es casualidad, tampoco lo de Fernando Alonso. Simplemente festejo las carreras como esta. Con Rusell se las verá realmente negras.	
4152	Enano maldito https://t.co/bZEIMcwoqr	
11640	"@user lo lamento, pero lo que hace la UDI es una PROVOCACION! Y LA VIEJA QLA QUE SE HACE LLAMAR ""DRA"" PERO NO CONOCE DE ETICA UTILIZA UN DISCURSO EN LA MISMA LINEA ! NO ENTIENDE NADA ESTA VIEJA QLA BASTARDA! DESCLASADA !! DELIRIOSA!!"	
6485	@user @user El gobierno de los bonos juajuajua bajen los impuestos zánganos!!!	
6842	@user @user @user Son bien weones en vez de llegar una rivalidad sana, siguen weando aparte son pocos creativos, ni que hubiéramos ganados gracias a él con suerte jugó, no puedes pasar 5 minutos son humillante	
6852	El enojo de los argentinos es de lo mejor que hay, jajajaja. Hasta para elegir 😂 https://t.co/b5q6a1LhDT	
1930	Me gusta este compadre y pico con las notas y el jurado cagón ( sorry por las palabrotas) . Este se merece todo #YoSoyChv #journay	
2831	Bolivianos ctm ratones la cagaron.	
6986	CTM aquí estaré pegado 1 año... La mejor serie de docs. 🤩🤩 https://t.co/4EButCZw8D	
1830	Hermanos #Peruanos, que complicadas sus elecciones, no hay por donde entre esos 2 candidatos 🤦🏻‍♀️ que sea lo mejor para #Perú 🙌	
14231	Del exorto de @user, respecto a la expulsión de @user, comento lo siguiente:    @user ha invitado a muchos extranjeros, sin pudor a hablar de política, ese partido al que ya es cercana @user     Recuerdo a Mario Vargas Llosa, autor de https://t.co/6YlWQpOCuK	
1821	@user Los hermanos Peruanos son adelantados en todo... Tenemos mucho que aprender de ellos...	
15178	#OrgulloHetero por favor! Listen los países que asesinan por ser hetero. Listen los casos de discriminación masivas por ser hetero. Entiendan esto no es guerra entre hetero y gay. Es entender la lucha de un colectivo que sufre discriminación, odio y muerte... eso #Pride	
6778	"Yo de verdad respondo de todo en cualquier tuit de cualquier persona. Me gusta apoyar, agregar algo, no sé. Me importa un pico si no nos conocemos (?

Pero a mis weas no las responde nadie ajajja :((("	
13810	@user Y voy más allá creo que se irán Griezmann y Trincao también. No es asumible una delantera con: Ansu, Messi, Agüero, Depay, Dembele y Griezmann	
7619	@user @user @user @user @user @user @user @user ¿Podría dar el contexto de forzado a ser Gay? No será que a el le llamó la atención un hombre y ud lo forzó ir a un terapeuta? Como se lo dije antes, la vida da muchas vueltas, espero que su hijo de verdad sienta lo que ud me dice, porque si no es así, llegará el dia en que se	
537	Basta ya de feminazis. No queremos más de sus mentiras y división. Queremos ver un movimiento feminista que busque la igualdad sin importar el género. Basta ya de estas cabezas huecas. ¡Que se vayan y que se den una vuelta por la realidad!	
13520	@user @user Y tú quien eres para tratarme de chula porque escribí mal una palabra... te faltan neuronas pendeja, sal de tu burbuja estupida sino vas a seguir pasando como la rubia facho tonta!!! Del retraso tenías que ser...	
11888	@user @user @user Es fácil trabajar teniendo a alguien que le haga el trabajo porque no fue a Los Angeles a resolver el problema ysi es por ser mujer debería ser un hombre el ministro del interior	
7183	@user Ahí tienen @user los venezolanos podrán interpelar al su ministro de salud?	
5593	"""En Death Stranding usamos a Sam Bridges, que es básicamente Solid Snake trabajando en Correos de Chile""

Me fui a la ctm xDDDDDD

https://t.co/bqQ8WYarHs"	
9824	@user @user No sea ridículo! Acá no se le crítica por ser mujer, sino por las barbaridades que dice ahora que ya fue electa. Y en tu caso, eres un Maricon tratando de imbecil a una mujer. Las patitassss weonnn!	
1737	@user Anda a lavarte la raja saco huea, si nunca vay a ser presidente. Jajajaja payaso ql!	
6444	"@user Coloca como alarma algun tema de Alberto Plaza... instintivamente despertaras, antes de que suene... para no escucharla...
Sigueme para mas consejos weones...."	
1876	@user Mas encima no me cobra estudiante uwu pico me devuelvo en metro jjj lo importante es IR A VOTAR SI A TI TE HABLO RAIMUNDO ANDA A VOTAR NO TE PONGAI JIPI	
3725	Por qué el universo me junta con gente que ha visto la mujer de Judas?	
10951	@user @user nuestro compromiso con la Araucania es real y si lo es x todos los ataques y muertes que han cometido los mapuches culiaos chuchesumadres.	
14142	@user Jajajaja, le duele porque ya estab vacunados y vos no asqueroso indigena	
3156	Maldito csm 🤬🤬🤬🤬 https://t.co/4536pOmql1	
13940	"@user @user Esa violación flagrante a la ética de la profesión comenzó hace rato con esta otra ""reputada"" psicóloga.  https://t.co/y6SbbdHBsy"	
2477	Pregúntele a su vecino venezolano por qué se vino a Chile.	
14342	@user @user @user @user @user Esa mujer me tiene sin cuidado la conozco y sé quién es,no es nadie, así que mi vale la pena por eso, no me interesa, solo trabajo por lo país para que Dios lo libre de caer en esas garras.	
572	Los haitianos son seres asquerosos e ineptos que sólo quieren usar a los demás sin tener en cuenta las consecuencias. Son una vergüenza para la humanidad y una carga para los demás. Su contribución a la sociedad es nula. Con su comportamiento, destruyen la armonía de nuestras comunidades.	
7258	La iniciativa, que ahora pasa al senado, excluye a los ciudadanos chilenos con residencia en el extranjero y mantiene la voluntariedad en las elecciones primarias 🇨🇱 https://t.co/43MlJXosoM	
12477	Odio a Avril Lavigne, la odio muchísimo osea va a todas putas partes de Europa incluso repitiendo ciudades joder y a España un solo concierto no puede venir???? Es que paso de verdad ya estoy cabreada	
5805	"@user Tú, que mezclas la flojera con vagos y flaites. Dice flaite y manda a ""mamar""."	
5568	Vaaamoooooo y lo empató Colombia 👏🏻👏🏻 ahora con todo nomás que gane 🇨🇱❤️ #VamosChile CTM #EliminatoriasSudamericanas	
9538	@user El único delincuente es el paco matón que agredió como un poco hombre a una mujer inocente y ahora està escondido como guarèn en el sur.	
12970	En Villarrica dueño de un predio mata a un Comunero que quería tomar dicho terreno... abrazos y respeto para él, ya que él Gobierno del Merluzo y la soa Izkia no hacen nada contra los delincuentes , los propios ciudadanos lo harán.	
4987	@user Ahi quedaron los tontos utiles que le creen a los zurdos cuando muestran su verdadera intenciones el que propuso 100% es alguien de derecha para que dejen de pensar que la derecha es el problema cuando todo son mismo por algo tuvimos 24 años zurdos mire como estamos.	
5395	"Ella: “Debe estar pensando en otra”

El: “Se lesionó Alexis ctm, nos fuimos a la chucha” 

#CopaAmerica https://t.co/QTzLXStLph"	
10010	@user Recibió la propuesta de la Articulación Territorial Feminista Elena Caffarena?	
9032	@user @user no es el contexto ni la manera pero ctm tirame mario porfavor	
2171	El saco de weas que tenemos de constituyente Ruggero Cozzi, un imbecil. #elpaisquequeremos. Todo mi apoyo a Alondra Carrillo, muchos pensamos como tú.	
5228	@user Chile no quiere comunistas y seguiremos votando contra la peor lacra en el mundo!!!! 👊🏻🇨🇱❤️	
10339	@user Al parecer las carabineras  y detectives, no son mujeres,no merecen respeto y ser protegidas,esa es la inconsecuencia del feminismo extremo.	
12147	@user Mi mujer me ha dicho lo mismo, que están sobre 90€ por lo cual me hace sospechar sobretodo del modelo de 35€	
14195	Siempre volver a lo mismo solo porque al pendejo de marketing le pareció buena idea mientras el puto autor lamiendo bolas para ganar más dinero, SABEN LO QUE ES MOLESTO A HUEVO PONER UNA PINCHE OBRA ASI Y VOLVER A SER REPETITIVO WN TODA LA HISTORIA	
3930	@user @user @user @user Yo pienso otra cosa, que los fachos se cagaron de miedo y votaron simplemente por el menos lejano a sus ideas 🙄	
12167	@user @user A ver mujer por ejemplo en Argentina vacunaron más del 60 porciento, eso es cumplir con sus objetivos. Además de ir cediendo soberanía de distintas maneras tanto el gobierno actual como el anterior, otro punto a favor del nom. Aceptar la realidad es lo más sano para el espíritu	
8386	Que tengan un buen día. Lo mejor de ayer en San Carlos el minuto de silencio a los chilenos fallecidos x el #COVID19 En el gobierno de #JaduePresidente deberían tener un memorial para que sean recordados x siempre y jamás olvidados . De fútbol mejor NO hablar ⚽️⚽️⚽️⚽️⚽️🇨🇱🇨🇱🇨🇱🇨🇱🇨🇱	
414	Las trabajadoras sexuales no tienen lugar en nuestra sociedad. Son una deshonra para la moral y los valores de la comunidad. El trabajo sexual sólo es una forma de explotación, en la que los clientes usan la vulnerabilidad de estas mujeres para sacar provecho. Estas personas ponen a las trabajadoras en riesgo, tanto físico como emocional.	
4034	@user Que rabia escuchar eso, y peor viniendo de otra mujer que es su hija...	
4603	#ContigoCHV y a Julio César Rodríguez no le da verguenza,   lo que él gana mensualmente,  comparado con los $ 350.000 mensuales que ganan la inmensa mayoría de los trabajadores chilenos,   yo me pongo igual de furioso como se puso él con BancoEstado,   pero con él !!	
13545	Hoy tome tanto café que parezco una loca.	
12174	Extranjeros tiran tiran mugre,,, chatos con esta gente,, llenas de aceite, nuestras calles,, Chilenos pagamos dividendos impuestos,, esta gente se cree dueños de nuestro lugar donde vivimos @user, por favor ahora que nos acercamos a un nuevo Presidente,,, recuperar, Chile	
2866	"Los Bolivianos estan mas cerrados que los ventiladores que donó Sutil

#VamosChile"	
8	Son tan groseros, ignorantes y miserables que ni siquiera se respetan entre ellos mismos. Faltan el respeto a la gente de otras nacionalidades y les molesta que otros haya logrado más que ellos. Son la personificación de la incompetencia y el fracaso. No creen en el progreso ni en el avance, sino que se quedan estancados en la misma situación en la que se encontraban hace muchos años.	
6910	#RespetoParaNelsonAcosta esta generación de cristal cree que el mundo nació con ellos, no conocen el respeto, el trabajo duro, el sacrificio y el legado que nos dejaron los chilenos y extranjeros que nos antecedieron,  gracias Nelson, y gracias a tantos por dejarnos un mejor país	
2840	Bolivianos conchetumare que asco jugar un deporte con esta “estrategia”	
13525	@user @user Esta es la puta feminista	
7627	“Pandemia: certezas e incertidumbres” es el título del II Ciclo de Conversaciones organizado por la Iniciativa Franco-Chilena de Altos Estudios, que convoca a académicos/as chilenos/as y franceses/as  para dialogar sobre #pandemia y calidad de vida. https://t.co/ShfLcMAor8	
8626	@user @user @user Piensa tú que si a una persona con inteligencia normal, y con título universitario, lo adoctrinaron para jamás coger un libro disonante con las ideas que le implantaron desde niño, qué habrán hecho los comunistas con personas con inteligencia más mediocre, y poco educadas. Saludo	
11905	@user @user Soy negro y tengo piso de ladrillo, puedo decirles indios a los mapuches de mierda? https://t.co/Nm2gxh6B3E	
13500	@user @user La xenofobia sd presenta hacia los extranjeros, pero acá es uno en particular que en vez de unirse como cualquier inmigrante lo hace, ellos vinieron a imponerse, al inicio ayude a varios hasta que me cagaron, son sinvergüenzas, y lo peor que se victimizan por todo, evítalos!	
10599	@user Chile no merece a ningún otro gobierno de las mismas lacras y chupa sangre de siempre, la incluyo @user	
7079	"@user @user @user @user @user El ser una ignorante yo? 
Más respeto x favor, yo no te he catalogado de nada por no concordar con tu opinión."	
3846	El VOTO OBLIGATORIO nunca debió desaparecer. La educación CIVICA debe ser parte de la formación de todos los chilenos, para valorizar y dar la importancia que merece este tipo de elecciones. #VOTACIONES2021	
1166	@user @user Los 34 tarados constituyentes creen tener poder y no lo tienen..son una manga de ignorantes que desafortunadamente les cayó del cielo algo que jamás debieron recibir. Espero que el covid haga justicia en este grupo.	
10338	“La literatura no es asunto de mujeres y no debería serlo nunca”. Esto le respondió el poeta Robert Southey a Emily Brontë cuando ella le pidió apoyo para su escritura.	
11951	hoy me siento bien PUTA re piolaA	
14888	Este es el mes del orgullo gay y me pregunto, ¿Cuántos de verdad están orgullosos de ser parte de una comunidad tan racista, misógina, clasista, mediocre y tantos más calificativos negativos?  Pues yo no.	
8823	@user @user Jajajaja... gracias.... creo que hay que mandarle este video para que recuerde... y se deje de hablar wevadas.... bueno eso nunca lo hará.... enano CTM...#RenunciaParis	
10790	@user No tení ni un brillo maraca ctm!	
741	Los inmigrantes son una amenaza para esta nación. El trabajo que ofrecen no es competitivo, se benefician de nuestros servicios sin pagar impuestos y socavan nuestra nacionalidad. Es injusto que nuestros impuestos vayan para ayudar a países extranjeros. Está bien ofrecer una mano amiga,pero la generosidad se ha exagerado.	
7172	@user @user @user El ají en el poto de la derecha.	
2651	"Alberto Fernández: ""Los mexicanos salieron de los indios, los brasileños de la selva y los argentinos de Europa"" #AlbertoFernandez
https://t.co/qPGFVCVf3H"	
13159	@user Cómo no burlarse de semejante estupidez,es más todo el movimiento feminazi es un chiste.    Viejas ridículas.	
1872	Si gana la mugre de candidata de @user es porque esta región y el país entero están realmente hasta el pico. Oliva es de lo peor y menos capacitado que he visto en el último tiempo	
2992	@user @user reitero, no es un tema netamente económico cuando se entrelaza con distintas opresiones, los índices de narcotrafico con distintos para los blancos, los negros, las mujeres, los pobres, los ricos, CLARO que considerar solo la clase es de mujer blanca cis género heterosexual	
4883	El día del cuete me voy a comprar que Boric es víctima de Comunes, como algunos centro-progres dicen acá jajajaja si tan weones no somos	
14677	petición pa que prohiban los cohetes me vais a matar a la perra	
965	@user Por Gil , le pasa 🤭	
5345	Que manera de echar de menos ese estadio por la grandísima concha de su madre	
8151	@user Lo peor de todo que veo a hijos de putas dando lastima a estar la venezolanos hptas	
5824	@user El pueblo ignorante, que por años y décadas no han querido educar, ya que no les conviene tener gente pensante, si así fuera, no tendrían seguidores!!!	
10276	@user @user Estás elecciones ya están definidas!, Aunque les duela los zurdos ya las arreglaron.Reyes del fraude.	
7017	Hoy felicito a la selección Chilena de tuiter.. que manera de defender la camiseta ctm!	
5098	@user Jeje guru,ud ya lo anuncio antes del 18/10,es el camino,40 años nos llenaron la cachimba con patrañas,los de haya y los de aca,mientras los chilenos mirabamos el mas grande choreo de la historia,si hasta te robaron la conciencia	
2897	Pero que chucha bolivianos qliaos  como tanta raja?	
11655	@user @user @user @user Y el cobarde bastardo #Piñera deja entrar a delincuentes extranjeros por la frontera....	
5300	@user @user @user Lei comunistas y salio el cabeza de palo que llevas dentro, no todos son comunistas campeon ..siga llorando..bye	
11724	Todos de blanco? A mi@user gusta estar de negro 🎀 https://t.co/0qzwop5y2L	
7775	Y basta de Scott Eastwood, arruinai el paisaje ctm	
